Overall Claims by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  NUMBER_OF_CLAIMS
829                                          SAAB 9000 i                 1
996                                          VW Bora 1.9                 1
1123                                              kimkco                 1
999                                          VW GOLF 1.6                 1
1133                                              lieger                 1
1182                                             sanyang                 1
951                                          UNO 45 FIRE                 1
952                                                   UV                 1
955                                                 V.W.                 1
914                                                  TGB                 1
964                                               VANARA                 1
912                                           TERRACROSS                 1
965                                  VDL BOVA B.V.FUTURA                 1
954                                                  V W                 1
911                                             TECNOMEC                 1
1075                                  chatenet ch 24 t0b                 1
1030                                                  WW                 1
910                                                  TDM                 1
1137                                            lw4 c ka                 1
1031                                               Wayel                 1
908                                            TATA  4X4                 1
928                                               TOYOYA                 1
929                                              TRANSIT                 1
1152                                       mercedes-benz                 1
970                                                VIRGO                 1
1154                                         microcar 61                 1
971                                               VITARA                 1
1062                                             benelli                 1
1033                                          XEV S.R.L.                 1
972                                                  VLK                 1
905                                          TARGA PROVA                 1
1156                                         mitsubischi                 1
903                                              TALARIA                 1
1150                                     mercedes - benz                 1
1028                                                 WOW                 1
1074                                        chatenet 505                 1
1144                                              master                 1
1111                                             hyundai                 1
959                                             VALENTIN                 1
1112                                               iVECO                 1
956                                                  VAL                 1
924                                          TOYOTA Land                 1
960                                               VALMET                 1
923                                            TOYOTA JG                 1
922                                         TOYOTA Celic                 1
1142                                 mariniello generosa                 1
921                                           TOYOTA 471                 1
1143                                     massey ferguson                 1
1145                                               mazda                 1
1138                                            macchina                 1
919                                            TOWN LIFE                 1
961                                             VALPADAN                 1
1139                                            mahindra                 1
1147                                          mc cormick                 1
916                                                TIGRE                 1
1017                                          Volksvagen                 1
1148                                             mecedes                 1
1107                                             hiunday                 1
915                              THE LONDON TAXI COMPANY                 1
1026                                         WOLKSWAGHEN                 1
1106                                          grecav eke                 1
902                                              TABBERT                 1
973                                            VM RACING                 1
1158                                          mitsubishu                 1
1176                                             renoult                 1
886                                         SUZUKI Jimny                 1
1173                                             ranault                 1
1040                                               YADEA                 1
1011                                        VW Polo 1.0i                 1
1010                                         VW Polo 1.0                 1
979                                              VOLKSW.                 1
932                                         TRATT. BAML/                 1
1174                                             reanult                 1
1043                                                 ZEN                 1
884                                           SUZUKI 385                 1
982                                      VOLKSWAGEN POLO                 1
882                                              SUR-RON                 1
977                                            VOLKSAGEN                 1
1044                                    ZERO MOTORCYCLES                 1
1177                                               rimor                 1
1045                                            ZONGSHEN                 1
1178                                         roller team                 1
880                                                SUNRA                 1
1179                                       s.d.f.g. same                 1
1180                                                same                 1
877                                            STERCKMAN                 1
1181                                             santana                 1
876                                                START                 1
957                                              VALENTI                 1
942                                          TRIGANO VDL                 1
1039                                     Xiamen Xiashing                 1
1104                                               great                 1
895                                              Seat Mo                 1
1160                                          mv augusta                 1
901                                                T CAR                 1
1161                                          new holand                 1
1014                                         VW Polo 1.9                 1
1061                                             belarus                 1
1103                                                golf                 1
899                                       Suzuki Valenti                 1
1102                                             goldoni                 1
930                                         TRANSIT COMB                 1
897                                               Sherco                 1
896                                                Senke                 1
1066                                              bobcat                 1
976                                               VOLEEX                 1
1101                                     giotti vittoria                 1
1136                                          lombardini                 1
893                                                 Same                 1
1167                                              peugeo                 1
1100                                             generic                 1
1036                                             XRV 750                 1
1099                                          ford focus                 1
1170                                              piagio                 1
1037                                                XTOO                 1
1171                                             polaris                 1
1038                                                 XXX                 1
887                                         SUZUKI SANTA                 1
607                                          MASH ITALIA                 1
808                                          ROLLER TIME                 1
260                                  DONGFENG MOTOR CORP                 1
239                                          DAILY 35C13                 1
241                                 DAIMLER CHRYSLER JEE                 1
244                                   DAIMLERCHRYSLER AG                 1
246                                       DAMLERCHRYSLER                 1
247                                        DEERE COMPANY                 1
249                                            DETHLEFFS                 1
251                                         DEUTZ - FAHR                 1
254                                                 DEUZ                 1
256                                            DIECI SRL                 1
258                                               DOBLO'                 1
261                                                DOTTO                 1
282                                       ELLEBI LB 1213                 1
263                                                DREAM                 1
264                                               DRESEL                 1
270                                                DURSO                 1
271                                       DYMLERCHRYSLER                 1
272                                                Dacia                 1
273                                                  Daf                 1
274                                                Derbi                 1
275                                           Deutz Fahr                 1
277                                       E-TUCK FACTORY                 1
278                                                   E3                 1
238                                         DAIHATSU Sir                 1
236                                              DAIHATS                 1
235                                               DAF XF                 1
231                                         DAEWOO Lanos                 1
189                                               CITOEN                 1
190                                              CITREON                 1
192                                         CITROEN AX 1                 1
193                                         CITROEN Berl                 1
194                                           CITROEN C3                 1
196                                         CITROEN C5 2                 1
197                                        CITROEN DS 20                 1
201                                         CITROEN Xsar                 1
204                                           CLAAS KGAA                 1
205                                        CLAAS TRACTOR                 1
206                                   CLAAS TRACTORS SAS                 1
208                                            CLASS 583                 1
209                                                  CMC                 1
215                                                  CNN                 1
218                                           COMACA SRL                 1
219                                                  CPI                 1
220                                               CRESCI                 1
221                                      CRESCI RIMORCHI                 1
224                                            CYHATENET                 1
226                                             Chausson                 1
227                                          Ciclomotore                 1
279                                              ECOOTER                 1
285                                              ERREPPI                 1
806                                               RNURFB                 1
348                                         FIAT PANDA 7                 1
332                                         FIAT CINQUEC                 1
333                                         FIAT Cinquec                 1
334                                         FIAT Croma 1                 1
335                                          FIAT DOBLO'                 1
337                                 FIAT GROUP AUTOMOBIL                 1
338                                           FIAT ICEVO                 1
339                                         FIAT IDEA 1.                 1
340                                           FIAT IVACO                 1
343                                         FIAT MULTIPL                 1
347                                         FIAT PANDA 4                 1
353                                         FIAT PUNTO 6                 1
286                                              ESTEREL                 1
354                                         FIAT Palio 1                 1
355                                         FIAT Palio T                 1
360                                         FIAT Punto T                 1
361                                           FIAT RIMOR                 1
364                                          FIAT TEMPRA                 1
365                                             FIAT UNO                 1
367                                          FIAT UNO 60                 1
368                                         FIAT UNOFIRE                 1
370                                           FIAT*PANDA                 1
371                                             FIATAGRI                 1
331                                         FIAT CINQ900                 1
330                                         FIAT BRAVA 1                 1
329                                           FIAT BRAVA                 1
