Avg Overall Claim Amount by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
439                                                HAFEI           1787.000000
605                                             MASERATI           1786.622336
483                                                ISUZU           1783.921543
580                                              LINGBEN           1778.000000
590                                               Ligier           1776.850000
287                                              ESTRIMA           1776.062500
211                                           CNH EUROPE           1774.175000
900                                                  Sym           1769.315510
362                                         FIAT SEICENT           1769.300000
177                                              CHATNET           1769.075000
856                                                SETRA           1768.314286
10                                                ABARTH           1766.923423
1098                                                ford           1766.554286
606                                                 MASH           1763.000000
1203                                          volkswagen           1760.336047
132                                              BRIXTON           1758.172000
765                                              Peugeot           1756.553000
913                                                TESLA           1755.840138
1080                                                clio           1754.000000
241                                 DAIMLER CHRYSLER JEE           1752.000000
356                                         FIAT Panda 1           1748.648824
142                                              Brixton           1747.410000
870                                        SMART FORFOUR           1747.000000
740                                               PEUGEO           1745.610000
434                                               GREGAV           1745.060000
974                                                VMOTO           1745.000000
559                                         LANCIA YPSIL           1745.000000
969                                                VESPA           1744.090000
1                                                      .           1743.500000
1046                                              ZONTES           1740.251304
859                                              SILENCE           1738.708000
1006                                           VW PASSAT           1738.500000
1035                                           XINDAYANG           1734.982000
752                                          PININFARINA           1733.120000
756                                              PORSCHE           1732.633429
1212                                             zhejang           1730.000000
553                                               LANCIA           1727.961568
677                                            MV AGUSTA           1727.448000
892                                                  SYM           1725.281918
229                                                DACIA           1725.168678
564                                              LANDINI           1723.048333
486                                              ITALJET           1717.863333
704                                                  NIU           1716.678000
34                                            AIXAM MEGA           1714.570769
668                                               MORINI           1710.000000
262                                                   DR           1709.301164
556                                             LANCIA Y           1707.000000
431                                           GRECAV SPA           1701.020000
594                                             MALAGUTI           1700.772358
104                                           BARTOLETTI           1700.000000
840                                         SAME EXPL 70           1700.000000
346                                         FIAT PANDA 1           1698.250000
345                                           FIAT PANDA           1696.122222
519                                                  KIA           1695.370824
60                                                   APE           1690.142857
653                                               MIRAGE           1690.000000
1182                                             sanyang           1690.000000
763                                         PUNTO DYNAMI           1690.000000
770                                   QUADRICICLO LIGIER           1690.000000
713                                           OPEL ASTRA           1690.000000
1204                                volkswagen passat  1           1690.000000
764                                            PUNTO VAN           1690.000000
901                                                T CAR           1690.000000
971                                               VITARA           1690.000000
930                                         TRANSIT COMB           1690.000000
1066                                              bobcat           1690.000000
63                                             ARCA 2001           1690.000000
1045                                            ZONGSHEN           1690.000000
1002                                         VW Golf 1.8           1690.000000
996                                          VW Bora 1.9           1690.000000
55                                                 AMBRA           1690.000000
1111                                             hyundai           1690.000000
1195                                               tasso           1690.000000
928                                               TOYOYA           1690.000000
636                                         MERCEDES Ser           1690.000000
924                                          TOYOTA Land           1690.000000
622                                              MCLOUIS           1690.000000
1032                                                 XEV           1688.680000
518                                               KEEWAY           1687.660426
591                                  MACCHINA OPERATRICE           1687.000000
742                                          PEUGEOT 106           1685.826667
52                                            ALFA ROMEO           1685.300366
1128                                              lancia           1685.180000
994                                                   VW           1683.334167
617                                                  MBP           1668.000000
1140                                            malaguti           1664.000000
875                                            SSANGYONG           1662.184885
927                                         TOYOTA Yaris           1662.000000
252                                           DEUTZ FAHR           1659.226000
1057                                                audi           1659.102143
609                                      MASSEY FERGUSON           1658.895385
461                                              HYUNDAI           1658.891563
315                                                 FIAT           1655.123793
474                                        IFOR WILLIAMS           1655.000000
883                                               SUZUKI           1654.374501
821                                              Renault           1654.052667
1183                                              scania           1654.010000
1207                                               volvo           1653.768889
696                                               NISSAN           1651.234985
1146                                                 mbk           1650.992500
686                                           Moto Guzzi           1649.978000
754                                              POLARIS           1649.191111
660                                           MITSUBISHI           1648.792212
889                                         SUZUKI Vitar           1645.000000
445                                              HIUNDAY           1645.000000
170                                            CHANGZHOU           1644.500000
920                                               TOYOTA           1642.343738
231                                         DAEWOO Lanos           1640.040000
504                                                 JEEP           1638.248412
498                                               JAGUAR           1636.214012
788                                              RENAULT           1635.677283
1115                                               isuzu           1632.258571
642                                                   MG           1631.357667
1076                                           chevrolet           1625.400000
833                                             SAME 360           1625.000000
601                                              MANITOU           1623.565714
614                                                MAZDA           1621.137375
632                                         MERCEDES C 2           1619.000000
1130                                          land rover           1618.668571
5                                                 999553           1617.200000
644                                             MICROCAR           1614.116207
661                                      MITSUBISHI FUSO           1608.250000
577                                         LIGIER GROUP           1605.120000
476                                             INFINITI           1605.029167
225                                               Cagiva           1605.000000
492                                        IVECO MAGIRUS           1604.060000
1018                                          Volkswagen           1603.250000
32                                                  AIXA           1600.470000
247                                        DEERE COMPANY           1600.000000
205                                        CLAAS TRACTOR           1600.000000
299                                            FARMATRAC           1600.000000
502                                                  JCB           1600.000000
403                                                 FUJI           1600.000000
1168                                             peugeot           1599.406667
879                                               SUBARU           1597.655695
73                                                  AUDI           1594.640190
1054                                                 ape           1592.250000
363                                         FIAT Seicent           1592.000000
428                                     GREAT WALL MOTOR           1583.739855
464                                              HYUNDAY           1582.000000
634                                         MERCEDES E 2           1580.000000
1176                                             renoult           1580.000000
645                                          MICROCAR 51           1580.000000
237                                             DAIHATSU           1579.965012
320                                           FIAT 500 F           1575.410000
295                                                FACMA           1575.400000
143                                             C F MOTO           1575.000000
947                                              U T B U           1575.000000
741                                              PEUGEOT           1571.653982
596                                                  MAN           1571.228033
478                                        INTERNATIONAL           1570.000000
1074                                        chatenet 505           1568.500000
1162                                         new holland           1566.415000
539                                                KYMCO           1564.627230
508                                                 JOHN           1563.437500
233                                                  DAF           1563.204375
1175                                             renault           1562.120000
1186                                               simpa           1562.000000
191                                              CITROEN           1561.688387
981                                           VOLKSWAGEN           1558.960836
319                                             FIAT 500           1556.265000
1153                                            microcar           1556.016000
429                                               GRECAV           1555.253103
23                                             AGCO GMBH           1553.333333
1149                                            mercedes           1552.379459
