Civil Liability Claims by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  NUMBER_OF_CLAIMS
136                      CASSONE                 1
821                       VANARA                 1
135                        CASEI                 1
141                      CENNTRO                 1
807                          UAZ                 1
153                      CHATNET                 1
151            CHATENET CH26 1 0                 1
789                       TOYOYA                 1
790                      TRANSIT                 1
791                 TRANSIT COMB                 1
792                 TRATT. BAML/                 1
152         CHATENET QUADRICICLO                 1
794                 TRATTORE 4RM                 1
149                     CHATEMET                 1
144                   CFORCE450L                 1
797                 TRATTRICE AG                 1
799                      TRIGANO                 1
800                  TRIGANO SPA                 1
801                  TRIGANO VDL                 1
803                      TYPHOON                 1
146                       CHANET                 1
881                          XXX                 1
82                         AXIAM                 1
883                        YADEA                 1
999                      ranault                 1
25          AGCO MASSEY FERGUSON                 1
982                  microcar 61                 1
23                AGCO GMBH E CO                 1
985                   mitsubishu                 1
986                   mitsubishy                 1
987                   mv augusta                 1
988                   new holand                 1
21                 AGCO G Series                 1
19                         AEXAN                 1
16                         ADRIA                 1
15                          ADLY                 1
13                     ADAM OPEL                 1
12                          ADAM                 1
996                       piagio                 1
997                      polaris                 1
980                mercedes benz                 1
979              mercedes - benz                 1
977                      mecedes                 1
968                     mahindra                 1
962                       lieger                 1
33           AIXAM MEGA K 34V BR                 1
30                          AIXA                 1
965                   lombardini                 1
966                     lw4 c ka                 1
967                     macchina                 1
29                        AIAXAM                 1
976                   mc cormick                 1
28                     AGRITALIA                 1
971          mariniello generosa                 1
972              massey ferguson                 1
973                       master                 1
974                        mazda                 1
27                   AGRIFULL 70                 1
998                      porsche                 1
11                            AC                 1
96                       BENTLEY                 1
1001                     renoult                 1
1020                    trattore                 1
1021                           v                 1
1022                        v.w.                 1
1023                      valtra                 1
6                          A 112                 1
1025                 volkswafgen                 1
5                         999553                 1
1027        volkswagen passat  1                 1
1028                   volkwagen                 1
1029                   volswagen                 1
4                          667TA                 1
3                            500                 1
1032                   wolswagen                 1
1033                          wv                 1
2                         3TNV76                 1
7                      A.CARRARO                 1
1018                       tasso                 1
1017                         sym                 1
1008                   scuolabus                 1
1002                       rimor                 1
1003               s.d.f.g. same                 1
1004                        same                 1
1005                     santana                 1
1006                     sanyang                 1
1007                      scania                 1
1009                  share n'go                 1
8                      A/R 146 L                 1
1010                       simpa                 1
1011                       skoda                 1
9                           A4RM                 1
1013                   ssangyong                 1
1014                      stayer                 1
1015                      susuki                 1
961                        lexus                 1
34                AIXAM MEGA VBO                 1
35                      AIXAM SV                 1
37                         AIXAN                 1
77                   AUTOMOBILES                 1
906                       bobcat                 1
907                        caron                 1
908                      carraro                 1
73                   AUTOB. Y 10                 1
910                  caterpillar                 1
70                  AUDI A4 1.9/                 1
912                 chatenet 505                 1
913           chatenet ch 24 t0b                 1
914                    chevrolet                 1
915                  ciclomotore                 1
69                   AUDI A3 1.8                 1
917                citroen xsara                 1
918                         clio                 1
66                          ATOS                 1
78            AUTOMOBILES LIGIER                 1
902                      benelli                 1
901                      belarus                 1
84                         Adiva                 1
886                          ZEN                 1
887                     ZONGSHEN                 1
91                 BARTOLETTI MV                 1
90                    BARTOLETTI                 1
89                         B M W                 1
86                    Alfa Romeo                 1
893                         alfa                 1
79          AUTOMOBILIES CHATENE                 1
83                           AXY                 1
173                   CLAAS KGAA                 1
81                          AXAM                 1
897                        astra                 1
80                   AUTOVETTURA                 1
899                  autobianchi                 1
65                       ASTRA V                 1
921                     daihatsu                 1
922                        dodge                 1
47                  ALFA 156 1.8                 1
51                  ALTRE MARCHE                 1
943                        hymer                 1
944                      hyundai                 1
945                    innocenti                 1
48                  ALFA 156 1.9                 1
947                        ivece                 1
950                          jdp                 1
940                      hiunday                 1
45                      ALFA 147                 1
44                  ALFA 146 1.6                 1
43                  ALFA 146 1.4                 1
954                       kimkco                 1
41                           AJP                 1
40                        AIXSAM                 1
941                           hm                 1
939                   grecav eke                 1
923                       ducati                 1
930                     ferrante                 1
64                         ASTRA                 1
925               dymlerchrysler                 1
63                  ASTON MARTIN                 1
61                         ARIIC                 1
928                         fend                 1
59                     ARCA 2001                 1
58                          ARCA                 1
52                         AMBRA                 1
53                     ANTONELLI                 1
933                      generic                 1
934              giotti vittoria                 1
935                      goldoni                 1
936                         golf                 1
937                        great                 1
750                SUZUKI ITALIA                 1
730                  SIMACAR SRL                 1
174                CLAAS TRACTOR                 1
311                     FIAT UNO                 1
530                           ME                 1
314                 FIAT UNOFIRE                 1
313                  FIAT UNO 60                 1
533              MERCEDES - BENZ                 1
534                 MERCEDES 180                 1
535                 MERCEDES 208                 1
538                 MERCEDES E 2                 1
528                      MCLAREN                 1
539                 MERCEDES Ser                 1
310                  FIAT TEMPRA                 1
307                 FIAT Punto T                 1
304                 FIAT Panda 9                 1
543                        MICRO                 1
302                 FIAT Palio T                 1
529                      MCLOUIS                 1
526                     MC LUOIS                 1
546                 MIETITREBBIA                 1
321                   FITA IVECO                 1
509            MAN NUTSFAHRZEUGE                 1
510                    MAN SYN2Z                 1
328                   FORD FOCUS                 1
514                 MAR GENEROSA                 1
324                    FORD 3600                 1
322                   FITA PUNTO                 1
320                        FIORI                 1
316                     FIATAGRI                 1
319                       FIESTA                 1
520                        MASSY                 1
521                       MAURER                 1
318                     FIAT\680                 1
317                  FIATGEOTECH                 1
524                MBK INDUSTRIE                 1
301                 FIAT Palio 1                 1
547                    MINARELLI                 1
332                 FORD Foc 2.0                 1
278                   FIAT BRAVA                 1
281                 FIAT CINQUEC                 1
