Avg Civil Liability Claim Amount by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
674                 RENAULT LAGU           1787.000000
670                 RENAULT 180.           1787.000000
451                   KTM  IS A3           1787.000000
285                  FIAT DUCATO           1783.000000
463                         LADA           1778.600000
495                      LINGBEN           1778.000000
241                      ESTRIMA           1776.062500
793                     TRATTORE           1775.334444
180                   CNH EUROPE           1774.175000
983                         mini           1773.000000
63                  ASTON MARTIN           1772.000000
769                        TASSO           1770.000000
308                 FIAT SEICENT           1769.300000
479                      LANDINI           1766.926739
517                         MASH           1763.000000
457                        KYMCO           1758.206824
203         DAIMLER CHRYSLER JEE           1752.000000
303                 FIAT Panda 1           1748.648824
123                      Brixton           1747.410000
740                SMART FORFOUR           1747.000000
629                       PEUGEO           1745.610000
367                       GREGAV           1745.060000
475                 LANCIA YPSIL           1745.000000
830                        VMOTO           1745.000000
825                        VESPA           1744.090000
1                              .           1743.500000
856                    VW PASSAT           1738.500000
1035                     zhejang           1730.000000
364                       GRECAV           1718.569615
596                          NIU           1716.678000
959                   land rover           1716.666667
563                       MORINI           1710.000000
472                     LANCIA Y           1707.000000
404                    INNOCENTI           1701.125000
90                    BARTOLETTI           1700.000000
714                 SAME EXPL 70           1700.000000
293                 FIAT PANDA 1           1698.250000
168                 CITROEN SAXO           1696.000000
609                 OPEL Corsa 1           1692.750000
56                           APE           1690.142857
304                 FIAT Panda 9           1690.000000
1027        volkswagen passat  1           1690.000000
647                 PUNTO DYNAMI           1690.000000
921                     daihatsu           1690.000000
529                      MCLOUIS           1690.000000
765                        T CAR           1690.000000
785                  TOYOTA Land           1690.000000
52                         AMBRA           1690.000000
906                       bobcat           1690.000000
789                       TOYOYA           1690.000000
551                       MIRAGE           1690.000000
185                           CO           1690.000000
791                 TRANSIT COMB           1690.000000
853                  VW Golf 1.8           1690.000000
944                      hyundai           1690.000000
648                    PUNTO VAN           1690.000000
59                     ARCA 2001           1690.000000
1006                     sanyang           1690.000000
847                  VW Bora 1.9           1690.000000
887                     ZONGSHEN           1690.000000
827                       VITARA           1690.000000
539                 MERCEDES Ser           1690.000000
604                   OPEL ASTRA           1690.000000
654           QUADRICICLO LIGIER           1690.000000
1018                       tasso           1690.000000
537                 MERCEDES C 2           1688.250000
503          MACCHINA OPERATRICE           1687.000000
671                 RENAULT CLIO           1686.410000
631                  PEUGEOT 106           1685.826667
403                     INFINITI           1682.575667
525                          MBP           1668.000000
770                         TATA           1665.600000
429                         JOHN           1664.000000
969                     malaguti           1664.000000
462                        Kymco           1662.865158
788                 TOYOTA Yaris           1662.000000
401                IFOR WILLIAMS           1655.000000
1030                       volvo           1653.768889
975                          mbk           1650.992500
754                 SUZUKI Vitar           1645.000000
378                      HIUNDAY           1645.000000
147                    CHANGZHOU           1644.500000
197                 DAEWOO Lanos           1640.040000
202                      DAIMLER           1637.875000
353                       GILERA           1636.481379
707                     SAME 360           1625.000000
536                MERCEDES BENZ           1620.395625
255                    FD MOTORS           1619.500000
5                         999553           1617.200000
477                         LAND           1615.500000
192                       Cagiva           1605.000000
657                          RAM           1605.000000
30                          AIXA           1600.470000
174                CLAAS TRACTOR           1600.000000
252                    FARMATRAC           1600.000000
208                DEERE COMPANY           1600.000000
424                          JCB           1600.000000
